labels,posts,,
Hate,Jennee ture amaaraa fi tigireen kalesas haras boris diina keenya jenneera,,
Free,Bara 2020 guyyaa jalqabaatti akkuma addunyaatti daa'imman kuma 300 fi kumni 92 ol dhalachuu isaanii â€˜Unicefâ€™ beeksise.,,
Free,Fiwudaalonni durii biyya diiguuf ciniinnattee hojjataa jirtii hayyoota sadan kanniin walitti fidaatii qaawwa diinni barbaaddee nu balleessuuf deemtu kana nurraa cufaa  Hayyoonni sadan kunniin bakka tokkotti furmaata rakkoo Itoophiyaa guutuu tau jedhee amana,,
Hate,Sagalee amaaraa tauu Osoo dhiiftanii gaariidha,,
Hate,Maaf kijibda lammaa kan waraanaan dhabamsiifna jedhaa ture eenyu,,
Hate,Bada qumbursii,,
Hate,Yaa waaq namicha kijibaa itti buusee. Osoo kiyyaa afaan qabattee teessam??dhiigni ilmaan oromoo galaana ta'e siha nyaatuu ??????,,
Free,Ejjennoo isaanii kana jabeessanii itti fufuun hidhamtoota siyaasaa hiisisuu irratti dhiibbaa akka jabeessanis dhaamsi dabree jira,,
Free,Mooxaa hanga Hararitti moo Mootummaan gocha suukaneessaa kaleessa mooxaatti hojjatame irratti osoo calisuu baatee silaa hara kan harar itti hin deebiamu ture Nagaa biyyaa buusuuf hundi walqixa itti gaafatamummaa  fudhachuu dhiisanii inumaa sodaa yoo sehan amma nugahaMootummaan ijjannoo isaa akka nubeeksisu feena  Nugaha                                                       ,,
Hate,Hanga namichi Abiyyi jedhamu jirutti biyyattiin nagaa hin aegattu,,
Hate, Taayee haarree,,
Hate,Warra kijibaan Itoophiyaa dullaatti ijaaruf deemu isiin Afuuftuu wayyii,,
Hate,Sobduu arurtuu afaan xaasaa TPLF hudduu keessa isin garafuutti jirti mee yoo afan qabatan dubatan ni lalaa  WBO lubbu lamile nagya basuf harara qabdu  Isin umani cubun warra dhiga lamii dhangalase sunin gamadu  Aras borus ABO  WBO  oromiyaa mitii Ethiopia isatu gonfata yero gababdu khesati ,,
Hate,Mormii keenya agarsiisna jechuun nu ajjeesaa ykn dhiiga dhangalaasaa jechuu miti Ati garuu kan jechaa jirtu yoo namni mormii agarsiise akka duu akka dhiigni dhangalauu fi akkasumas amantaa irratti dhiibbaa kan qabu gootee barreessite kun akka dhuunfaattis tae moottummaatti ilaalcha sirrii miti karaa biraa kanneen kana hundumaa yoo Qeerroon kan raawwatu tae tarkaanfii akkasii fudhannaa jechuu keeti utuu hin beekiin ragaa ofirratti bahaa jirtuu jechuudha garuu mee waan katabde kana irra deebiii dubbisii hubadhu,,
Free,Kasaaraan kun lola Tigraayitti jalqabeen tajaajila Interneta addan cite akka hin dabalanne kan ibse the Africa Report naannoo Tigaayitti cufamuun Tajaajila Intarneeta kaasaaraa qabeenyaa caalaa sarbamni mirga namoomaa hamaan naannichatti uumame ture akka hin mulÃ¢â‚¬â„¢anne tasisuu ibse,,
Hate,Qeerroon ati jettu isa kami  kanuma hidhaatti guuraa jirtan kana mitii kaan hidhaa keessaa fuutanii Ajjeestan ,,
Hate,Obbo Addisuu Aregaa atti ammaas Ummaata Oromoo dhifaama gafaacha hin jirtu Afaan Amaraatiin Ummaata Oromoo xiqeesiite Afaan Oromootin dhifaama gafaachuun hin taatuAfaan Amariifaatin dubaadhu Sabaafi Sablamoonii hundi haa dhagaahu,,
Hate,Akkas taanaan ka itti aanu PP keessattuu sobduu fi hattuu,,
Free, Hidhamtootni siyaasaa waldhaansa fayyaa argachuu qabu mirgi murtii haqaasaaniis eeggamuu qaba jechuun gaafatan,,
Hate,Ati har'as siyaasuma afuufta ,,
Hate,Ajjeesuun mooyatamuudha jedhee hin turree ,,
Hate,Jaldeyyiwwan,,
Hate,Abbo ilmaa gaanttuu saree waan Atti jettu kuulloo qofatu dhaagefaataa zagiii,,
Free,nMormiin guutuu Oromiyaatti dhooheera,,
Free,jawaar mohaammad,,
Hate,Jarummaa qeerroo goftaa juntaa jettuni kaan deebistaani ajjeessaa jirtuu,,
Free,Jabaadhu ,,
Free,  Raayyaa Ittisa Biyya Keenyaatiif Injifannoo Hawwina,,
Free,Ministeerri Dhimma Alaa miidhaa lubbuu fi qaamaa lammiilee Ityoophiyaarra qaqqabeef gaddi itti dhagaÃ¢â‚¬â„¢amuu himeera,,
Hate,Kan raasasan nama harka qullaa dhawuu fi ajjeesu kun juntaa miti gowwaa ajjess fi milishaan,,
Hate,Hhhhjjjjj  gantuuu bitamtuuu,,
Free,Akkasii lenca ko jaabadha,,
Hate,Warri midiya kun kijibaa gama lamanii dhistanii dhugaa jirtuu yoo gabassan mal qab kunii seera midiyattii miti waal mormii dha malee midiya tigers nu akkana goone isiin hin goone hin sobanii jettan kana ummannii midiya dha jedhee isiin dhageefataa,,
Hate,Tan dabarte gundoo tan hafte guddoo waliin  jechuuf yeroon barfatee jira Dhiiga namaatiin harki laaqqame,,
Hate,Egaaa oromon sijibbeee ima hin milkofnee atii n.a. amanii??,,
Hate,yoo barbaaddan hoggantoota afaan keessan ergaa malee lubbuu loltuu oromoo akka meeshaatti fayyadamuun barrisaa darbe maaloo hin goyyominaa,,
Hate,Sanyiin bofaa bofumagaruu oromoo taee  warri akka harreetti ppf baandaa taee tajaajilu seenaan isin gaafata bor maal jettuun garuu,,
Hate,Abaarsi Abu Tayyef gareen juntas gara dhumatti waan deeme fakkata ,,
Hate,Sareen warra nyaattuuf dutti jedhama mitiiree,,
Hate,Paartiin Badhaadhinaa ajjeechaa eenyummaa bu'uura taasisuun naannoo Beenishaanguul Guumuuz godina Matakkal aanaa Bulaniitti lammiilee nagaarratti raawwate ,,
Free, Hojii baruufi barsiisuu galma barbaadameerraan gahuu kan dandau hojii mootummaan hojjatu qofa osoo hin taane hirmaannaan qaamolee hawaasaa fi abbootii qabeenyaa gahee olaanaa waan qabuuf hojiin fakkeenyummaa abbaa qabeenyaa hojjatame kun abbootii qaabeenyaa magaalaa keenyaa hundumaaf agarsiistuu akka tahu abdiin qaba jedhan Hogganaan Waajjira Barnoota Magaalattii Obbo Tafarii Qanaatee,,
Free,Yakka guddaadha  dhadhaa kuntaala  jechuun waan taphaamiti  dhadhaa kiiloo tokko qofa maatii mana tokko keessa jiraatan meeqatu itti fayyadama Kanaafuu namoonni kun nama bombii nekuleeraa biyyatti darbeen garaa garummaa hin qabu Adabbiin isaanirratti fudhatamu adabbii duaa tahuu qaba,,
Hate,Haacaalun duuun isiniif badhaadhinaa Qaroon oromoo hidhamuun isiniif badhaadhinaa Hayyootni oromoo hidhamuun isiniif badhaadhinaapaartin teessanis paartii nafxanyaa,,
Hate,Hadhaa Marita  oli boruu ilimani oromofi qabe yaa musilimaa nyachisii ilimaa saree??????? ,,
Free,Bishaan kadhatanii argatan dheebuu nama hin baasu jean  Paartii oromotti dabalamaa amantii teenya kabachiisaa kana tahuu baannan rakkoon ummata islaamaa furamuu hin teessu,,
Free,Look man nama tokkoo fi lamaa miti ilmaan Oromo kan amantaan Mislima tahan ajjeefaman Guyyuma sadeen darbe keessatti dhalaa fi dhiira manguddoo fi hawwan dabalatee Oromia keessatti namoottan heeddutu motummaan gara jabeenyaan ajjeesutti jira ammalle ittuma jira Kanaafu yoo dhuguma ilma namummaaf kan dhaabbattan tahe silaa gocha kana hunda afaan guutun balaaleeffattan garuu hunda keessanirraa huma tokko hin agarre Silaa maal gootan gaafa Abiyot wajjiin suraa kaatan dubbiin isin jalaa bade Amma ta bilxiginnaa malee kan namummaa isin keessa hinjiru Wallahi isinin jaa akkkuma Wayyaanen kufe bilixiginnaan faaydaadhaan afaan isin hodhee kunis dhihotti kufa Haatahu ammoo galmee seenaa keessan balleessitan Gaafa isin mana hidhaa wayyaane keessa turtan Hamza fi Jawar sagalee isinif tahan hara isin afaanumaafille waan rokko isaanif dubbachuu dadhabdan Everything is recorded for history,,
Free, Kan naaf gahe jedhee ofirraa hudhee darbuu dandaus ummatuma,,
Hate,Waraani kenya leenci wbon tokko kanneen warra muxxee fi suusiin ajjeefate kana  lafa isinif kaaya Ok,,
Free,"Dhuma irrattiis gaaffiwwan uummataa kan Aadaa, Afaani, lafaa ",,
Free,"Dhaabbileen miseensa ADWUI sadii; ADP, ODP fi paartiin Ummattoota kibbaa walitti baquun Paartii Badhaadhina jedhamu yoo hundeessan",,
Free,Namni akkamitti lubbuu nama qulqulluu dabarsa akkamittis qabeenya naannoo isaa  qabeenya isaa barbadeessa tasgabbaayee waa laaluu qaba ture Akkamiin kaayyoo diinaa dhugoomsina Eenyuyyuu nutti fayyadamuu hin qabu Kun aadmalee dha,,
Hate,gaafuma gondareen aangoo qabate biyyi badde gaaffii maal gaafannaree ,,
Hate,oromoo gandaan qooduuf yaaltaniis isiniif hin milkaawuu abbaan keessanuuhu ni dadhabe garuu wanni ana ajaa ibsiisu hanga yoom akkanatti kijibdanii saamtanii kaan ajjeesaa kaan hidhaa aangoorra turra jechuun an akka mataa kootiitti nafxanyaatu sihiri isinitti godhee jaeetiin yaada isin erga qabsoon yoo waa balleessan malee hin dhagayamne qabeenya nafxenyaa barbdeessinee isin garsiifna nuutiis Abdii kutannee isiniis abdii kutadhaa,,
Free, Humni siyaasaa sabboonummaa Oromummaatiin masakame gonkumaa akka aangootti hin dhihaanneef kana godhu,,
Hate,Isin osoo sabaaf hojachuu hin taane saba oromoo irratti hojachaa jirtan ilmaan diqaalaa fi goobantoota,,
Free,Wantooni hanqaatan  ilmaan oromoo sabbaaba hiriira nagaa baaani  gootni kenyaa hakkaa hidhaara bauu gafaatanif rassaasaan tumaamani Manaa yalaa keessaa sabbaaba qarshii dhabbuutin yaala dhabbaani saddaarka lubbuun bauura gaaan edduutu jiruu Kannaaf hattaatamaan koree dabdaani hiraati hojjeechutu sinniira jiraa ,,
Hate,Gantuu rabbiyyuu ni qabaa waaqi dhugaa raayyaa ittisa keenyaa hin gatin,,
Hate,nuuf galuu dinnaan worra girrisaas gaafannee wollaalan,,
Hate,Afuuftuu Afaan sobaatiin biyya bulchuun Biyya diiguudha sobni gaafa gudatee tabba caale boodde salpina hamaa amma PP seente kanuma ibsa Afaan sobaan tuulame yeroof dhugaa sitti fakkaatuus Qormaani sobaakun gaafa dhugaan mullate qoramaata darbuun nijaabat  karaan sobaan dabran deebiin namadhibaa Ay Nafaxanyaa PP,,
Free,geejibni bishaanii fi wiirtuleen daldalaa hammatamaniiru,,
Free, Hospitaalonni Biraaziil baayina dhukkubsattoota Covid-19 irraa kan kae hojii dhaabuuf taÃ¢â‚¬â„¢uunis ibsameera,,
Free,Akka kooti lolaa kanarraa midha malee buaa tokko hinqabuu maloo adaraa dhisaa borii seenaan isiin gaffaa fayyida Part dursuu iraa faayidaan  Biyya haaduursuu yoo biyyi jiratee paartin jiraata,,
Free, Galiin buuurawwan misoomaa hundaaf waan murteessaadha kan jedhan Obbo Taayyeen galii walitti qabuu irratti qaamni hunduu ciminaan hojjechuun magaalattiin galii ishee madaalu akka argattuuf xiyyeeffannoo kennuun barbaachisaadha jedhan,,
Hate,Saree bilxiginnaati ati mataan kee takka Abo Wbo arrabsitaTakka tigiree arrabsita Gantuu fi ergamtuu akka keetiif dhihootti qorichi siif kennamu jira Daldaltuu siyaasaa,,
Free,Osuma hiikamanii nagaan dhufa malee qabsaaoota hidhaatii guuraanii ofumaaf sirbuun buaa hin qabu Gama biraatin immoo mannii murttii hundumaa ija tokkoon ilaaludha qaba malee paartii isa hoogganuuf looguu hin qabaatu  ,,
Free,Hara miti dubbiin kan bade gaafa sabni baldhaa  Tokkummaa tokkummaa jechaa ture oromoof paartiin lama ykn sadi gahadha ijaramaa faayyidaa dhunfaa angoof jecha saba kana hinrakkisiina jedhama turekunoo hara irraahoo maalbaratureammas hiree sabakeenyaaf waljabeessinee haakaanu,,
Hate,Qeerroon wayyaanee biyyaa baftee wboshanee tatee dhumtee Qeeroo hoganaa kan turemoo juwar mana hidhaa seneraa,,
Hate,ifaa miti Ofeeggannoo guddaa godhu eegama Tigiree waan ta'aniif qofa miidhaan irratti dhaqqaba,,
Hate,Shane oromoo mitii wayyaanee maale,,
Free,Qaamoleen deeggarsi dhiyaachaa hin jiru jechuun odeeffannoo sobaa tatamsaasaa jiran qaamolee buÃ¢â‚¬â„¢aa siyaasaa argachuu barbaadaniidha jedhan.,,
Free,Namni Ethiopia keesati  umaata iraati waaran Labsu biyyaa  Arabati nu maali nu godha kiijibaa Argaa Abyii,,
Hate,humna qeerroo qarreetiin harkaa baafnu hin dagatinaa ummataaaf ummata amantaaf amantaa wolitti buusaa jiru mootummaa amaaraati of hin sobinaa hidda inuma balleessina nutis ,,
Free,Naannoo Gaambeellaatti daÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢umsaan walqabatee duÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢aatii haadholii hambisuuf qaama dhimmi ilaallatu waliin qindoominaan hojjetamuu akka qabu ibsameera,,
Hate,warri badhaadhina jala deemtu sammuun ishee tuubboo dha kan waan arge dabarsu,,
Hate,Gantuun Eennu taheeti warra dharaan ajjeeftan lubbuu himadhaa gumaa fixadhaa ergamtuu opdo ummanni ammas gumaa inuma baafata nafxanyaan walii hin gallu yomuu,,
Hate,isinimmoo sammuu kamiin bulchitu  ilimaan caatiin gudattan,,
Free,Namoonni umuriin cimanii fi ogeesoonni fayyaa talaallicha dursanii akka fudhatan ibsameera,,
Free,Naannichatti deeggarsi namoomaa % 70 dhiyaachuu fi lammiilee miiliyoona 3,,
Free,Naannichaatti korichi lammiilee buqqaÃ¢â‚¬â„¢aniif galii Birrii miiliyoona 50 walitti qabuuf karoorfatee gara hojiitti galeera jedhame.Torbee tokko keessaattis galii Birrii miiliyoona 9.2 walitti qabeera.,,
Free,Innaalillaahi wainnaa Ileyhi Raajiuun  Koree fala barbaadduu musliimootaa  keessaa tokko kan turan Shek yusuf Muzammil gara Fuula Rabbi isaani godaanan Rabbi Rahmata hagodhuufi,,
Hate,Ya ummata gowwa comenti jalatti nama arrabsu balage adaba male guddatte  diqaalota,,
Free, Hojii gaggessaa olaanaan Bulchiinsa yeroo Naannoo Tigiraay Dr Muluu Naggaa haala naannichaa keessa jiru irratti Ambaasaaddarrootafi Diippiloomaatootaf ibsa kennaniiru,,
Hate,amaaraan seenaa hatame malee seenaa  hin qabdu,,
Free,Alabaa sii dubbaa qofaa sireedha Oromoon tokkoo amantaan addaa wolii hin qonnu Baga ittiin siin gahee obbolleessa koo,,
Hate,Wayyaanee Qeerroon Harka qullaa maqaleetti galche Albaatee Gargaarsa Ummataa Jettee  Watwaatta Mitii Ummataa oromoo Ajjeesuu Malee maal beektu Silaas ,,
Free,Imaltoonni loltuun dabaalamuun socha'u'-Jiiddugala Gondar,,
Free,Maasaanuu daangaa qabdi,,
Free,"Mootummaan dirree siyaasaa bal'isuuf jedhee akka tarkaanfii kana fudhate ibsa, garuu murteen kun haqa mirkaneessuu waliin akkamiin deema? Dirree siyaasaa bal'isuuf jecha namoota hidhaman hiikaa gama biraan ammoo paartileen siyaasaa biyyattii hedduun miseensonni isaanii jalaa hidhamaa jiraachuu komataniiru.",,
Free,Ummaan habbasha kayyoo fi xiyyeefanaani ishee amanatii musilimmaa dhabbamisisuu dha namichii biyyaa bulichisuu toftaan dhibbaa nuratii godhaa jiraa kuni ifaan ifaatii nufi galee jiraa guuyyaa hacaluun duee umman arsii manatii hin hafanee malee fi dheengdaa yommuu umman keenyaa arsii hararii dhummuu work showaa wojjiin nutii ilalatii oromoo eggaa tokkoo jenee isiin maaf nuti laalaan,,
Hate,Atumti mataanke koronadha,,
Hate,dubbiin jabaatteetti fakkaata,,
Free,teessoowwan mana fincaaniitti hin bu'anii jechuu dha. Kunimmoo carraa infeekshiniif isaan saaxilu ni hir'isa.,,
Hate,Dhugaa Kanyaa dabssanii akkantti Ganaa Salpattii Warri garra qurcii amaaraa,,
Hate,EBC gafatamuu qaba Jalqabaa kun tauu banan kijiba dhisa Nafxanyaan nafxanyummaa,,
Free,Kutannoo Jabaa Akkanaa Barbaanna  Hojii Inveestimantii magaalaa keenya keessatti baballisuuf danqaa taee kan ture dhimmi lafa inveestimantii magaalaa keenya keessatti baroota darban karaa seeraan alaa hoggantoota mootummaa olaanoo tokko tokko waliin hidhata godhachuun abbootiin qabeenyaa maxxanaan karaa seeraan alaatiin maqaa investimantiitiin lafa fudhatanii osoo hanga haraatti hin misoomsin dallaa itti ijaaranii kaanii turani addaan baasuun yeroo yeroon tarkaanffii seeraa fudhachuu haala barbaadameen gaggeeffamaa hin turreAmmaan booda garuu Bulchiinsi magaalaa Buraayyuu araarama tokko malee tarkaanffii jabaa fudhachuu ni eegalaInvestimantii magaalaa keenya keessatti hojjetamu irraa dargaggoonni keenya haalaan fayyadamaa akka tahanu ciminaan hojjennaObbo Salamoon Fayyee Kantiibaa Bulchiinsa Magaalaa BuraayyuuKantiibonni Magaalaa hundaa kutannoo fi murannoo akkanaa qabaachuu qabduMaqaa investimantiitiin sobamee lafa Oromoo saamuun hin dandaamuObbo Salamoon Fayyee kutannoon keessani hedduu natti toleeraa jabaadhaa nutis isin waliin jirraa,,
Free,Saaatii  darbe keessatti biyya keenyatti namoota  qorannoon taassifamee nama tokko keessatti illee Virusiin Corona hin argamneHundi isaaniiyyuu virus kana irraa bilisa taha an jiruYaa Waaq ati ulfaadhugalatoomi yaa Rabbi,,
Free,Rakkoon dr Abiy inni guddaan maali yoojettan  oromoon waaee oromummaa waamuu dhiisee oromoon akka maqaa isaa qofa waamu barbaaduu isaati kun immoo abjuudha abjuun akkam bareedullee dhugaa hintaatu  Normalpolitical prisenors ,,
Free,An kaa naa ajaibuu yeroo oromoon dhumuu hin dubatanii ammaa diramaa jarri qophesaanin wajjiin lafaa dhituun Kun essaa issinittii dhufaa Moo sooda warra habashaa kanatuu hirribaa isiin dhorgee  Attis gondariraa fagoo jirtaa hin sehuu  Ummataa wallaggaa kaa dhumaa jiruuf guyyaa tokkolle wantii attii baressittee hin jiruu kan lubbun meqaa badeef kan Amma atti baressitef tunin warrotaa lubbun jiraanif diraamaa tahuu osoo bektuu karaan akkana Kun uumataan walitti sii busaa wantaa akkanaraa uff qusadhaa dubachuun ergaa hin ollee maraafuu dubadhuu,,
Free,Manni murtii walii gala Federaalaa oolmaa dhaddachaa guyyaa haraa ooleen ol iyyannaa Abbaan Alangaa Federaalaa hidhamtoonni siyaasaa lagannaa nyaataarra jiran hospitaala Mootummaafi akiima mootummaatiin yaalamuu qabu jedhee dhiheeffate gama tokkoon kufaa taasisus gama biraatiin murtii haala fayyummaa hidhamtoota kanaa giddu galeessa hin godhanne dabarsee jira jechuun Gurmuun Abukaattotaa komatan,,
Free,Wanti anaaf hin gallee otoo  nama mormaa oromoo keessaa akkas jedhee dubbatee  Silaa yoona hidhameera isaantu waca caala yoona Waan hundumaaf  tokkummaan keenya amma barbaachisaa,,
Free, Dargaggoonni kunneen eebbifamtoota yuunivarsiitii yoo taan hojii tola ooltummaatiif jioota 1normalf naannolee hundarratti bobbau,,
Free,takkaa Rakkoon islaamaa jara rakkisee hin beeku sababa jaraatiin Rakkoo islaamarra gahu malee\nYeroo dhihoodhaa as gochaan jarri hojjataa turaniifi ammas itti jiran saaxilamuu eegalee jira,,
Free,"Hoggansi raayyaa ittisaa muudama argatan 65 yoo ta'an, isaan keessaa 6 leetnaal janaraal, 19 meejar janaraal, 4Normalammoo birgaadeer janaraala tahu FBCtu gabaase",,
Free,Muummee Ministira Dooktar Abiy Ahimad Dabalatee hoggantoonni mootummaa olaanoon maatii barattoota Yuunvarsiitii Dambi Doolloo ugguraman waliin mariâ€™atan.,,
Free,Buuuruma gaaffii dhiyaateen Boordii Filannoo Biyyaalessa Ityoophiyaa murtee laateera.,,
Free,amaara,,
Free,Naqamtee biyya gootaa jirra Naqamtee Naqamtee koo Biyyaa bunaa Biyyaa Ancootee Biyyaa xaafii Biyyaa saliixiii Biyyaa nuugii Kam dubbadheen  Kamiin dhiisaa Ummamni kee ajaibsiisaa Kam dubaadheeni  Kamiin dhiisaa Biyyaa oggeessaa Biyyaa Kumsaa Qeerroonkees  Qabsoo tumsaa Jijjiiramaaf hundaa dursaaIjoolleen Naqamtee sanyiin Kumsaa Morodaa haqaaf malee dhara hin dursan,,
Free,Mootummaan Kun kan akkam akka tahuuf deemu Ifaa miti Nuti muslimoonni biyya Tanaaf akka lammii lammaffaatti barri itti dhiitamaatiifi tuffatamaa jiraannu dabree jira Jabo dandeenyee obsine Kanaan boo obsa fixanneerra Baqqaa baqqaa baqqaa,,
Free,biyya,,
Free,Sirni awwaalcha Juuntaa raawwatamuuf umurii saaatii  hin caalle qofatu hafeSheexana Azaaba keessaa miliqee dhufee waggaa  oliif dhiiga ummata biyya kanaa xuuxaa ture achuma bakka miliqee dhufe Azaaba isaatti deebisina        ,,
Free, Maqa-xureessii isaan uumuuf halkanii fi guyyaa dhamaan addunyaan irraa bituu didde,,
Hate,Tokkummaan Oromoo yeroo mara diinaaf dhukkuba sammuuti kanaaf karaa dandahaniin Oromumaan Oromoo diiguu barbaadu,,
Hate,Gantoota akka Lee??????,,
Free,Buura ajaja mana murtii Federaalaa dhaddacha Ijibbaataa kanaatiin bulchiinsi mana hidhaa Qaallittii yeroo ammaa kana hidhamtoota siyaasaa laganaa nyaataa guyyaa 34ffaa itti fufanii jiran kana gara mana yaalaa Laandimaark geessee jiraachuu maatiin OMN-tti himaniiru,,
Free,Oromoon tokkummaa isaa daraan jabeeffachuu qaba male,,
Hate,Kan hiyyeessaa qofaa diiguun falaa hin tauu Kan baranaa irraa darbitani diigaa turtan sana dhaqaa diigaa,,
Hate,harreen yeroo du'uuf jettu lafa qorqiti balelleeduuf jettee jarrii hattoonni kuniis dhumatirra waan geesseef akkas taatii,,
Hate,ODP ati xebena hin xebeniin maraatte jirta waaee Jawaar dubbachuu hin dandeessuduraan dursiiti gochaakee gara dimokiraasitti deeffadhu Tarii nama hidhuufi ajjeesuu nii dandeessa itti gaafatamummaa jalaa ,,
Free,Nuti mootuma federaalawa moo mootumma tokkumaawaan bulaarrakan namni tokko ango  baatu,,
Hate,KKKKKKkkkk yeroon ilmaanuma abbaa tokkoo wan nyaachiftu gabaabbachaa jira ummanni haqa barbaada kanaaf poolisiin oromiyaas ummata isaa haqa barbaadu wajjiin hiriiruu qaba  Poolisii oromiyaa amanuu dadhabdanii poolisii amaaraa ummata ficcisiisaa jirtan kunis ni darba,,
Hate,ajaibaa garuu ati kijibadhaa anii Ahmadin jabali ofiin jetaa garuu sobaa Rabbiin sodaa dhu maqaa nama tin banate,,
Hate,Diqalaa miliki bitamtu Abiyoot bu'uu qaba Fulbaana soddoma booda gareen pp bilxiginaa dhaaba harree dhufee gara Gondar galchuu itti fufe jira budaa bulguu binessa nafxanyaa,,
Hate,Kaumsuumarraa waantti hubatamuu qabu Tvn OBN dhimmaa pp deeggarruu gidduugalleessa godhatee hojjeetamoo dhugaadhuma saba keenyaa kana tajaajuluf hojjeeta jeeta atii kanaaf deebii qabda Eegen saree kana gara ittii deemu  argitee jeennan Sareedhutishiiyyu gara ittii deemtuu argite  jedhe namichi jefhama Makmaaksadha,,
Hate,yaalii ajjeechaa taasifame irratti mummichi maal jedhe obbo addisuduwwaainnoo taatee isaan dhufannam tolchee waee amantii isa lafa dawoo jeraa tae qofa hasawaa kkkkkyoo yaadu dadhabdan ofumaa hin barreessinaawaan qaaniioromoon kanaan nafteynaan hin bitamugur,,
Free,"Kaâ€™umsi isaa magaalaa Haraar kan taâ€™e konkolaataa Minibaasii Haayruufii bakka kuusaa gaazii silvaatiyoo keessa dhooksuun erga magaalaa finfinnee seenee, Sadaasa 16, 2012 konkolaaticha sakkataâ€™uun shugguxii 34 shakkamaa waliin toâ€™atamuu Komishinii Poolisii Finfinneetti Qorataan Yakkaa Saajiin Olaanaan Taarraqany Wadaajoo himaniiru.",,
Free,Namni kamiyyuu ulaagaalee asiin olitti eeraman guuttannaan lammii Itoophiyaa jedhameeti kan ilaalamuu qabu jedhan,,
Free, Akkuma 1992tti ABO dhiibanii baasanii Oromoo irratti dhiichisan sana ammas dabareen warra Minilik geessee akkasuma saba guddaa kana salphisuutti deemu,,
Free,Rabbiin janaatan isaan haa qanansiisu,,
Hate,Hurufti kuni eddoo seena qabeessa dha Daangeffamee adaa kana waliin dhalootaf tikfamee dabarfamuu qaba,,
Hate,Hamed Gishee harree nafxanyaa taatee edas uyii rabbii isa fixu bakka tessan kanati,,
Free,Hiriyoota kiyya warra adii waliin taanee hundeessine. Shamarran kubbaa millaa akka taphataniif yuunifoormii biteeraaf,,
Hate,Kijibdoota amma diraama gara Alishaabaa deebifitan qaata shanee jeetuu ennutu isiin jala dhagaha Afuufitu,,
Hate,Hattuun Sukkaaraa eessa jiraaAyii Sukkaaree,,
Hate,Saree hin kijibinni,,
Free,warraabbaa Aangoo qaama federaalaa keessa taaanii barataa oromoo fixuuf jennaan dhumuu didnaanoromoo keenya warra garaa isheef jettee biyyaaf oromummaa ishee gurgurtu walgaii waamtee mariisiftee deemaa hojii irra oolchaa kan dursee hojii irra oolche sadarkaa guddinaa qaba jedhanii gad gadhiisu kanaaf jettee oromoon keenya taiin bara mootummaa darban keessatti hin taane hojjettiosoo mootummaan wal qixxummaa sabaa,,
Hate,Kijibaafi dhisa,,
Free,wal-hubannaa,,
Hate,JusticeforHacaalluuHundeessa OromoProtests AbiyMustGo  Kijiibaa saree marata konkolee naajiisa uuuusssss ,,
Hate, siboo atifaan mana hidhaatii qeerrotu sibaase maali saboo if hingartuu ati bar nama garaaf qabsaauu maal gootu teysanis fagoo hinjirtu hayyama rabbiitiin nikuftu gaafa sanii maalgotu,,
Free,Mariin Kabxata darbe eegale guyyoota lama keessatti xumuramuun osoo irra jiraatuu amma kaleessa galgalaatti taa'ameera,,
Hate,Arra salaale geeysita Abiyoot kee,,
Hate,KFO  TPLF ABO shanee  The same Junta,,
Free,rakkoo furuuf,,
Free,Ajaaa wayi badduudha isin warri komenti jajjabinaa walii kennitan kun mee ammayeroo hacaaluun daldaltanu qaltuus qabduus hin taatanu Biyya hinburjaajessinaa Yeroo abiyyiis dura buee kan qarshii abbaa maxxansina jedhu sii Ammammoo haqaan sitti yarannaan burjaajii uumta Udaani ati ,,
Free,Kanaaf Afaan gara garaa beekuun keenya sababa waljibbuufi walqooduu ta uu hinqabu namni amantaa tokko afaan kamiin barate ykn hojjate osoon taiin kan isa dhiphisuu qabu wanti hojjatame sun buaa buusee jiraa kan jedhuudha  Yoo buaa buusuu baate fi sababni buaa buusuu dhabeef Afaan dhagahuu dhabuu tae Afaan silaa buaa buusuu dandautti fayyadamuun gaarii taaKana godhuuf immoo ijoolleen haadha takka mana amantaa takkaa Afaan garagaraatin Leenjinee argamuu qabna Garu Warri Osoo Afaan tokko  dhagahan dhagahuu hin barbaanne nama amantaan galeef miti Afaan tokko ture sababa cubbuu ittin dalagneef waaqayyo afaan gargar godheAmma immoo afaan keenya gargartauun isaa akka waaqa keenya jibbinu nugadhaa jira sababni isaas obboleessa keeny kan afaan nu dubbannu hin dandeenye jibbuun isa jibbuudha,,
Free,Dubbiin hamma Waaee injifannoo qofa osoo hin taane murnoota wayyaanee warreen kiraasassaabdotaafi heera biyyattii cabsan seeratti dhiyeessaa,,
Hate,gaafuma amharaan aangoo qabate biyyi badde gaaffii maal gaafannaree ,,
Free,Nagaafii Rahmanni Ergamaa Rabbii irra hajiraatu,,
